title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
"Affair to Remember, An (1957)",4.1923076923076925,26,Fly Away Home (1996),G.I. Jane (1997),Star Trek: The Motion Picture (1979),Dante's Peak (1997)
"African Queen, The (1951)",4.184210526315789,152,Absolute Power (1997),"Wizard of Oz, The (1939)","Nutty Professor, The (1996)",Miracle on 34th Street (1994)
Afterglow (1997),3.111111111111111,18,This Is Spinal Tap (1984),Reservoir Dogs (1992),"Maltese Falcon, The (1941)",Arsenic and Old Lace (1944)
"Age of Innocence, The (1993)",3.3846153846153846,65,Little Women (1994),Ulee's Gold (1997),"Remains of the Day, The (1993)",101 Dalmatians (1996)
Aiqing wansui (1994),5.0,1,-,-,-,-
Air Bud (1997),2.558139534883721,43,"Craft, The (1996)",Miracle on 34th Street (1994),Arsenic and Old Lace (1944),Waterworld (1995)
Air Force One (1997),3.6310904872389793,431,"Hunt for Red October, The (1990)","Firm, The (1993)",Murder at 1600 (1997),Eraser (1996)
"Air Up There, The (1994)",2.8125,16,Fly Away Home (1996),"Deer Hunter, The (1978)",G.I. Jane (1997),On Golden Pond (1981)
Airheads (1994),2.34375,32,Ulee's Gold (1997),"Magnificent Seven, The (1954)","Last of the Mohicans, The (1992)",Alien: Resurrection (1997)
Akira (1988),3.38,50,Amistad (1997),"Ice Storm, The (1997)",Kolya (1996),Seven Years in Tibet (1997)
Aladdin (1992),3.8127853881278537,219,"Lion King, The (1994)",Cinderella (1950),Grumpier Old Men (1995),Mrs. Doubtfire (1993)
Aladdin and the King of Thieves (1996),2.8461538461538463,26,Strictly Ballroom (1992),Bound (1996),Evita (1996),Kiss the Girls (1997)
Alaska (1996),2.6923076923076925,13,Platoon (1986),"Adventures of Priscilla, Queen of the Desert, The (1994)",Event Horizon (1997),Austin Powers: International Man of Mystery (1997)
Albino Alligator (1996),2.5,6,"Crow, The (1994)",Get Shorty (1995),"Full Monty, The (1997)",Four Weddings and a Funeral (1994)
Alice in Wonderland (1951),3.6666666666666665,81,G.I. Jane (1997),"Hunchback of Notre Dame, The (1996)",Welcome to the Dollhouse (1995),"Devil's Advocate, The (1997)"
Alien (1979),4.034364261168385,291,Ulee's Gold (1997),Swingers (1996),"Magnificent Seven, The (1954)",Alien: Resurrection (1997)
Alien 3 (1992),2.83,100,Ulee's Gold (1997),William Shakespeare's Romeo and Juliet (1996),Alien: Resurrection (1997),"Peacemaker, The (1997)"
Alien: Resurrection (1997),3.096774193548387,124,Miracle on 34th Street (1994),Outbreak (1995),Kolya (1996),Batman (1989)
Aliens (1986),3.9471830985915495,284,Alien (1979),William Shakespeare's Romeo and Juliet (1996),"Mask, The (1994)",Good Will Hunting (1997)
All About Eve (1950),4.045454545454546,66,Kiss the Girls (1997),Seven Years in Tibet (1997),Fly Away Home (1996),Executive Decision (1996)
All Dogs Go to Heaven 2 (1996),1.8666666666666667,15,Scream 2 (1997),"Room with a View, A (1986)",Harold and Maude (1971),"Edge, The (1997)"
All Over Me (1997),3.0,3,-,-,-,-
All Things Fair (1996),3.0,1,-,-,-,-
Alphaville (1965),3.3333333333333335,12,Star Trek: The Wrath of Khan (1982),"Adventures of Priscilla, Queen of the Desert, The (1994)",Starship Troopers (1997),Benny & Joon (1993)
Amadeus (1984),4.163043478260869,276,Henry V (1989),Miracle on 34th Street (1994),"Boot, Das (1981)",William Shakespeare's Romeo and Juliet (1996)
Amateur (1994),3.1666666666666665,18,Amistad (1997),101 Dalmatians (1996),"Edge, The (1997)",Michael (1996)
"Amazing Panda Adventure, The (1995)",2.8,10,"Ghost and the Darkness, The (1996)",Conspiracy Theory (1997),Henry V (1989),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
American Buffalo (1996),2.6363636363636362,11,Gone with the Wind (1939),Wag the Dog (1997),Star Trek: The Motion Picture (1979),Bram Stoker's Dracula (1992)
American Dream (1990),2.5,2,Full Metal Jacket (1987),Quiz Show (1994),"Professional, The (1994)",Pretty Woman (1990)
"American President, The (1995)",3.6280487804878048,164,G.I. Jane (1997),Dave (1993),Michael (1996),"Firm, The (1993)"
American Strays (1996),2.0,2,"English Patient, The (1996)","Postino, Il (1994)","Long Kiss Goodnight, The (1996)",Kingpin (1996)
"American Werewolf in London, An (1981)",3.5353535353535355,99,Kolya (1996),True Romance (1993),"Adventures of Priscilla, Queen of the Desert, The (1994)",Ulee's Gold (1997)
"American in Paris, An (1951)",3.7,50,Con Air (1997),Shine (1996),Spawn (1997),Heat (1995)
Amistad (1997),3.8548387096774195,124,"Frighteners, The (1996)",In the Name of the Father (1993),Fried Green Tomatoes (1991),Ghost (1990)
Amityville 1992: It's About Time (1992),1.0,5,-,-,-,-
Amityville 3-D (1983),1.1666666666666667,6,"Time to Kill, A (1996)",My Fair Lady (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Amadeus (1984)
"Amityville Curse, The (1990)",1.25,4,"Nightmare Before Christmas, The (1993)",Army of Darkness (1993),My Fair Lady (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"Amityville Horror, The (1979)",2.5660377358490565,53,In & Out (1997),My Best Friend's Wedding (1997),Emma (1996),"Last of the Mohicans, The (1992)"
Amityville II: The Possession (1982),1.6428571428571428,14,"Devil's Own, The (1997)","First Wives Club, The (1996)",Fly Away Home (1996),Scream 2 (1997)
Amityville: A New Generation (1993),1.0,5,-,-,-,-
Amityville: Dollhouse (1996),1.0,3,-,-,-,-
Amos & Andrew (1993),2.6842105263157894,19,My Best Friend's Wedding (1997),Alien: Resurrection (1997),Event Horizon (1997),Shine (1996)
An Unforgettable Summer (1994),2.5,4,Happy Gilmore (1996),Kolya (1996),James and the Giant Peach (1996),Trainspotting (1996)
Anaconda (1997),2.289473684210526,38,Bonnie and Clyde (1967),Down Periscope (1996),Father of the Bride Part II (1995),Beavis and Butt-head Do America (1996)
Anastasia (1997),3.4242424242424243,66,Arsenic and Old Lace (1944),Cinderella (1950),Pink Floyd - The Wall (1982),"Abyss, The (1989)"
Andre (1994),3.111111111111111,18,Event Horizon (1997),Boogie Nights (1997),Kolya (1996),"Edge, The (1997)"
Angel Baby (1995),3.75,4,George of the Jungle (1997),Jackie Brown (1997),Austin Powers: International Man of Mystery (1997),Ulee's Gold (1997)
Angel and the Badman (1947),3.0,6,Ed Wood (1994),Sense and Sensibility (1995),Pinocchio (1940),Shine (1996)
Angel on My Shoulder (1946),2.0,1,-,-,-,-
Angela (1995),3.0,1,-,-,-,-
Angels and Insects (1995),3.4166666666666665,72,True Romance (1993),Dumbo (1941),James and the Giant Peach (1996),Apt Pupil (1998)
Angels in the Outfield (1994),2.923076923076923,39,Spawn (1997),"Wrong Trousers, The (1993)",Cold Comfort Farm (1995),Cinema Paradiso (1988)
Angus (1995),2.642857142857143,14,"Magnificent Seven, The (1954)",Being There (1979),Lawrence of Arabia (1962),"Killing Fields, The (1984)"
Anna (1996),4.5,2,Cold Comfort Farm (1995),Aladdin (1992),Gandhi (1982),"Godfather: Part II, The (1974)"
Anna Karenina (1997),3.090909090909091,33,Pinocchio (1940),Harold and Maude (1971),Henry V (1989),Batman Returns (1992)
Anne Frank Remembered (1995),3.857142857142857,21,"Remains of the Day, The (1993)",Singin' in the Rain (1952),"Peacemaker, The (1997)",Alien: Resurrection (1997)
Annie Hall (1977),3.911111111111111,180,"Sex, Lies, and Videotape (1989)",Everyone Says I Love You (1996),Star Trek III: The Search for Spock (1984),"Room with a View, A (1986)"
Another Stakeout (1993),2.5,28,Mother (1996),Father of the Bride Part II (1995),Maverick (1994),"Hunchback of Notre Dame, The (1996)"
Antonia's Line (1995),3.9565217391304346,69,Lost Highway (1997),Kiss the Girls (1997),Executive Decision (1996),G.I. Jane (1997)
Aparajito (1956),3.5714285714285716,7,Being There (1979),Ghost (1990),Dead Poets Society (1989),"Good, The Bad and The Ugly, The (1966)"
"Apartment, The (1960)",3.9365079365079363,63,"Long Kiss Goodnight, The (1996)","Peacemaker, The (1997)",Rumble in the Bronx (1995),Young Guns (1988)
Apocalypse Now (1979),4.04524886877828,221,"Deer Hunter, The (1978)",GoodFellas (1990),On Golden Pond (1981),Being There (1979)
Apollo 13 (1995),3.931159420289855,276,Michael (1996),"Peacemaker, The (1997)",G.I. Jane (1997),Wag the Dog (1997)
"Apostle, The (1997)",3.6545454545454548,55,Father of the Bride Part II (1995),"Nightmare Before Christmas, The (1993)","Adventures of Priscilla, Queen of the Desert, The (1994)","Remains of the Day, The (1993)"
"Apple Dumpling Gang, The (1975)",2.84,25,Kolya (1996),"Ghost and the Darkness, The (1996)",Event Horizon (1997),Everyone Says I Love You (1996)
April Fool's Day (1986),2.6666666666666665,15,Rumble in the Bronx (1995),"Hudsucker Proxy, The (1994)",My Fair Lady (1964),Courage Under Fire (1996)
Apt Pupil (1998),4.1,160,As Good As It Gets (1997),"Mask, The (1994)",Dave (1993),Clear and Present Danger (1994)
"Aristocats, The (1970)",3.1296296296296298,54,"Edge, The (1997)","Rainmaker, The (1997)",Grumpier Old Men (1995),Jackie Brown (1997)
Army of Darkness (1993),3.4310344827586206,116,Ulee's Gold (1997),"Full Monty, The (1997)","Wrong Trousers, The (1993)",Austin Powers: International Man of Mystery (1997)
Around the World in 80 Days (1956),3.6610169491525424,59,Kolya (1996),Rosewood (1997),Cop Land (1997),Mimic (1997)
"Arrival, The (1996)",3.036144578313253,83,Fried Green Tomatoes (1991),Tombstone (1993),Spawn (1997),Real Genius (1985)
Arsenic and Old Lace (1944),4.078260869565217,115,In & Out (1997),Grosse Pointe Blank (1997),Down Periscope (1996),"Hunchback of Notre Dame, The (1996)"
As Good As It Gets (1997),4.196428571428571,112,Apt Pupil (1998),"Mask, The (1994)",Batman Forever (1995),Glory (1989)
Assassins (1995),2.871794871794872,39,Father of the Bride Part II (1995),Starship Troopers (1997),"Ghost and the Darkness, The (1996)","Deer Hunter, The (1978)"
"Assignment, The (1997)",3.5,18,"Manchurian Candidate, The (1962)",Jackie Chan's First Strike (1996),"African Queen, The (1951)",Cool Hand Luke (1967)
"Associate, The (1996)",3.2439024390243905,41,Nikita (La Femme Nikita) (1990),Raging Bull (1980),Patton (1970),Die Hard 2 (1990)
Audrey Rose (1977),2.1666666666666665,12,Father of the Bride Part II (1995),Tin Cup (1996),Dante's Peak (1997),Crash (1996)
August (1996),1.0,1,-,-,-,-
Austin Powers: International Man of Mystery (1997),3.246153846153846,130,Gone with the Wind (1939),Happy Gilmore (1996),Mary Poppins (1964),Primal Fear (1996)
"Awfully Big Adventure, An (1995)",2.375,8,Gone with the Wind (1939),Courage Under Fire (1996),"Deer Hunter, The (1978)","Ice Storm, The (1997)"
Ayn Rand: A Sense of Life (1997),3.142857142857143,7,Evita (1996),Alien: Resurrection (1997),Scream 2 (1997),Crash (1996)
B*A*P*S (1997),1.6666666666666667,3,Eraser (1996),"Boot, Das (1981)",Multiplicity (1996),Star Trek: First Contact (1996)
B. Monkey (1998),3.0,1,-,-,-,-
Babe (1995),3.9954337899543377,219,"Peacemaker, The (1997)",Batman Returns (1992),"Lost World: Jurassic Park, The (1997)",Cinderella (1950)
"Baby-Sitters Club, The (1995)",2.5,10,"Ice Storm, The (1997)",Secrets & Lies (1996),Tomorrow Never Dies (1997),"Room with a View, A (1986)"
Babyfever (1994),1.0,2,-,-,-,-
"Babysitter, The (1995)",2.3333333333333335,3,"Mask, The (1994)",Dante's Peak (1997),Eraser (1996),"Crow, The (1994)"
Back to the Future (1985),3.834285714285714,350,Speed (1994),Pretty Woman (1990),Michael (1996),"Frighteners, The (1996)"
Backbeat (1993),3.473684210526316,19,Down Periscope (1996),Benny & Joon (1993),Arsenic and Old Lace (1944),Dante's Peak (1997)
Bad Boys (1995),3.1052631578947367,57,Fly Away Home (1996),Jungle2Jungle (1997),Everyone Says I Love You (1996),"Peacemaker, The (1997)"
Bad Company (1995),2.2222222222222223,9,As Good As It Gets (1997),M*A*S*H (1970),"Killing Fields, The (1984)","Sex, Lies, and Videotape (1989)"
Bad Girls (1994),1.8333333333333333,6,Ulee's Gold (1997),Big Night (1996),"Remains of the Day, The (1993)",Some Like It Hot (1959)
Bad Moon (1996),2.6666666666666665,6,Highlander (1986),One Flew Over the Cuckoo's Nest (1975),Patton (1970),M*A*S*H (1970)
Bad Taste (1987),3.375,16,My Fair Lady (1964),"Remains of the Day, The (1993)","Room with a View, A (1986)","Killing Fields, The (1984)"
"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,4,"Close Shave, A (1995)",Ulee's Gold (1997),Sense and Sensibility (1995),Secrets & Lies (1996)
Balto (1995),3.0,16,"Sex, Lies, and Videotape (1989)",Mighty Aphrodite (1995),Con Air (1997),Crash (1996)
Bananas (1971),3.7017543859649122,57,"Craft, The (1996)",Wag the Dog (1997),"Lost World: Jurassic Park, The (1997)",One Fine Day (1996)
"Band Wagon, The (1953)",3.6666666666666665,9,Little Women (1994),"Remains of the Day, The (1993)",Pinocchio (1940),Dumbo (1941)
Barb Wire (1996),1.9333333333333333,30,"Ice Storm, The (1997)",Amistad (1997),G.I. Jane (1997),Michael (1996)
Barbarella (1968),2.5714285714285716,28,"Close Shave, A (1995)","Rainmaker, The (1997)",Big Night (1996),Fly Away Home (1996)
Barcelona (1994),3.018867924528302,53,Outbreak (1995),Tombstone (1993),One Fine Day (1996),True Romance (1993)
Basic Instinct (1992),3.227722772277228,101,"Ice Storm, The (1997)","Boot, Das (1981)",Spawn (1997),Under Siege (1992)
"Basketball Diaries, The (1995)",3.425,40,"Peacemaker, The (1997)",G.I. Jane (1997),My Fair Lady (1964),Murder at 1600 (1997)
Basquiat (1996),3.25,44,Mother (1996),Beautiful Girls (1996),"Peacemaker, The (1997)",Lost Highway (1997)
Bastard Out of Carolina (1996),2.875,16,One Fine Day (1996),Maverick (1994),"Ghost and the Darkness, The (1996)",Absolute Power (1997)
Batman & Robin (1997),2.4516129032258065,62,Batman Forever (1995),"Philadelphia Story, The (1940)",Good Will Hunting (1997),GoldenEye (1995)
Batman (1989),3.427860696517413,201,Alien: Resurrection (1997),Scream 2 (1997),Good Will Hunting (1997),Cold Comfort Farm (1995)
Batman Forever (1995),2.6666666666666665,114,Down Periscope (1996),Jungle2Jungle (1997),As Good As It Gets (1997),"Net, The (1995)"
Batman Returns (1992),2.683098591549296,142,Michael (1996),Fly Away Home (1996),"Peacemaker, The (1997)",Batman (1989)
Baton Rouge (1988),1.0,1,-,-,-,-
Bean (1997),2.659340659340659,91,On Golden Pond (1981),Strictly Ballroom (1992),"Killing Fields, The (1984)","Craft, The (1996)"
"Beans of Egypt, Maine, The (1994)",3.5,2,Quiz Show (1994),Alien: Resurrection (1997),It's a Wonderful Life (1946),Lawrence of Arabia (1962)
Beat the Devil (1954),3.7142857142857144,7,Interview with the Vampire (1994),"Time to Kill, A (1996)",Grumpier Old Men (1995),Kingpin (1996)
"Beautician and the Beast, The (1997)",2.313953488372093,86,Under Siege (1992),"Mask, The (1994)",In the Name of the Father (1993),GoldenEye (1995)
Beautiful Girls (1996),3.391304347826087,115,Lawrence of Arabia (1962),Full Metal Jacket (1987),"Maltese Falcon, The (1941)",Die Hard: With a Vengeance (1995)
Beautiful Thing (1996),3.9655172413793105,29,Patton (1970),"Magnificent Seven, The (1954)",Dragonheart (1996),Rosewood (1997)
Beauty and the Beast (1991),3.792079207920792,202,Amistad (1997),Kiss the Girls (1997),"Hunchback of Notre Dame, The (1996)","Lion King, The (1994)"
Beavis and Butt-head Do America (1996),2.7884615384615383,156,"Ice Storm, The (1997)",James and the Giant Peach (1996),"Devil's Advocate, The (1997)",GoodFellas (1990)
Bed of Roses (1996),3.2333333333333334,60,Some Like It Hot (1959),Jungle2Jungle (1997),"Ice Storm, The (1997)",Gone with the Wind (1939)
Bedknobs and Broomsticks (1971),3.0701754385964914,57,Con Air (1997),Good Will Hunting (1997),Tombstone (1993),Jackie Brown (1997)
Before Sunrise (1995),3.4081632653061225,49,"Frighteners, The (1996)",Donnie Brasco (1997),Mr. Smith Goes to Washington (1939),12 Angry Men (1957)
Before and After (1996),2.8461538461538463,26,Star Trek: The Motion Picture (1979),"Edge, The (1997)","Good, The Bad and The Ugly, The (1966)",Patton (1970)
Before the Rain (Pred dozhdot) (1994),3.8,10,Clueless (1995),Bonnie and Clyde (1967),Bram Stoker's Dracula (1992),"Shining, The (1980)"
Being Human (1993),1.75,4,"Clockwork Orange, A (1971)","Boot, Das (1981)",Bram Stoker's Dracula (1992),Full Metal Jacket (1987)
Being There (1979),3.9051724137931036,116,Ulee's Gold (1997),Pinocchio (1940),Dumbo (1941),Welcome to the Dollhouse (1995)
"Believers, The (1987)",2.25,16,What's Eating Gilbert Grape (1993),"Ghost and the Darkness, The (1996)","Devil's Advocate, The (1997)",Emma (1996)
Belle de jour (1967),3.945945945945946,37,Benny & Joon (1993),Ulee's Gold (1997),"Magnificent Seven, The (1954)",Stargate (1994)
Ben-Hur (1959),3.8306451612903225,124,Cop Land (1997),"Wrong Trousers, The (1993)","Manchurian Candidate, The (1962)","Great Escape, The (1963)"
Benny & Joon (1993),3.4607843137254903,102,Fly Away Home (1996),"Rainmaker, The (1997)","Last of the Mohicans, The (1992)",Good Will Hunting (1997)
Bent (1997),2.6666666666666665,6,Boogie Nights (1997),"Devil's Own, The (1997)",Evita (1996),Shine (1996)
Best Men (1997),3.4,5,"Full Monty, The (1997)","Time to Kill, A (1996)",Broken Arrow (1996),"Nightmare Before Christmas, The (1993)"
Best of the Best 3: No Turning Back (1995),1.5,6,Reservoir Dogs (1992),Chasing Amy (1997),Heat (1995),Swingers (1996)
Better Off Dead... (1985),3.569620253164557,79,"Ice Storm, The (1997)","Rainmaker, The (1997)","Edge, The (1997)",G.I. Jane (1997)
"Beverly Hillbillies, The (1993)",2.25,20,Wag the Dog (1997),"Deer Hunter, The (1978)",Apt Pupil (1998),Alien: Resurrection (1997)
Beverly Hills Cop III (1994),2.392857142857143,28,"Ice Storm, The (1997)",Jungle2Jungle (1997),"Net, The (1995)",Gone with the Wind (1939)
Beverly Hills Ninja (1997),2.3125,48,Young Guns (1988),Kolya (1996),G.I. Jane (1997),Seven Years in Tibet (1997)
"Bewegte Mann, Der (1994)",3.6666666666666665,3,In & Out (1997),Aladdin (1992),Indiana Jones and the Last Crusade (1989),"Sound of Music, The (1965)"
Beyond Bedlam (1993),1.0,2,-,-,-,-
Beyond Rangoon (1995),3.0555555555555554,18,"Hunchback of Notre Dame, The (1996)",Jackie Brown (1997),Waterworld (1995),Ulee's Gold (1997)
Bhaji on the Beach (1993),2.875,8,Jackie Chan's First Strike (1996),It's a Wonderful Life (1946),"Wrong Trousers, The (1993)","Magnificent Seven, The (1954)"
"Big Bang Theory, The (1994)",4.0,1,-,-,-,-
"Big Blue, The (Grand bleu, Le) (1988)",3.235294117647059,17,"Game, The (1997)",Apt Pupil (1998),Patton (1970),Primal Fear (1996)
Big Bully (1996),1.8571428571428572,14,Real Genius (1985),Cape Fear (1991),Stargate (1994),"Game, The (1997)"
"Big Green, The (1995)",2.5,14,Nikita (La Femme Nikita) (1990),Apt Pupil (1998),Executive Decision (1996),"Bridge on the River Kwai, The (1957)"
"Big Lebowski, The (1998)",3.8333333333333335,42,Tin Cup (1996),True Romance (1993),"Abyss, The (1989)",Clerks (1994)
Big Night (1996),3.9005847953216373,171,Conan the Barbarian (1981),Lost Highway (1997),"Ice Storm, The (1997)",Wag the Dog (1997)
"Big One, The (1997)",3.0,1,-,-,-,-
"Big Sleep, The (1946)",4.027397260273973,73,Seven Years in Tibet (1997),"Wrong Trousers, The (1993)",Tin Cup (1996),Amistad (1997)
"Big Squeeze, The (1996)",2.25,4,Swingers (1996),Phenomenon (1996),Michael (1996),Rumble in the Bronx (1995)
Billy Madison (1995),3.081081081081081,37,Secrets & Lies (1996),"Killing Fields, The (1984)",Alien: Resurrection (1997),Bonnie and Clyde (1967)
Bio-Dome (1996),1.903225806451613,31,"Great Escape, The (1963)",Alien: Resurrection (1997),"Edge, The (1997)","Ice Storm, The (1997)"
Bird of Prey (1996),1.0,1,-,-,-,-
"Birdcage, The (1996)",3.4436860068259385,293,Philadelphia (1993),"Sex, Lies, and Videotape (1989)",My Fair Lady (1964),Army of Darkness (1993)
"Birds, The (1963)",3.808641975308642,162,G.I. Jane (1997),Swingers (1996),"Cable Guy, The (1996)",Mimic (1997)
Bitter Moon (1992),3.3,10,Ransom (1996),Benny & Joon (1993),Spawn (1997),"Great Escape, The (1963)"
Bitter Sugar (Azucar Amargo) (1996),4.333333333333333,3,Toy Story (1995),"Birdcage, The (1996)",Strictly Ballroom (1992),"Adventures of Priscilla, Queen of the Desert, The (1994)"
Black Beauty (1994),3.4444444444444446,27,Cold Comfort Farm (1995),"Rainmaker, The (1997)",Rosewood (1997),Boogie Nights (1997)
Black Sheep (1996),2.6363636363636362,55,Cool Hand Luke (1967),Air Force One (1997),Gattaca (1997),Being There (1979)
Blade Runner (1982),4.138181818181818,275,"Devil's Advocate, The (1997)",Ulee's Gold (1997),William Shakespeare's Romeo and Juliet (1996),"Wrong Trousers, The (1993)"
Blink (1994),3.0,19,"Hunchback of Notre Dame, The (1996)",Dante's Peak (1997),Arsenic and Old Lace (1944),Down Periscope (1996)
Bliss (1997),2.5714285714285716,7,Michael (1996),Star Trek: The Motion Picture (1979),Dead Poets Society (1989),Dante's Peak (1997)
"Blob, The (1958)",2.717391304347826,46,Big Night (1996),Swingers (1996),Sling Blade (1996),Leaving Las Vegas (1995)
Blood & Wine (1997),2.8636363636363638,22,Interview with the Vampire (1994),"Peacemaker, The (1997)","Rainmaker, The (1997)",In the Name of the Father (1993)
Blood Beach (1981),2.1666666666666665,6,Babe (1995),"Killing Fields, The (1984)",Miracle on 34th Street (1994),Outbreak (1995)
Blood For Dracula (Andy Warhol's Dracula) (1974),2.4,5,"Birds, The (1963)",Bonnie and Clyde (1967),Top Gun (1986),Speed (1994)
Bloodsport 2 (1995),1.7,10,"Ghost and the Darkness, The (1996)","Lost World: Jurassic Park, The (1997)",Jungle2Jungle (1997),Platoon (1986)
"Bloody Child, The (1996)",1.0,1,-,-,-,-
Blown Away (1994),2.7586206896551726,29,"Peacemaker, The (1997)","Full Monty, The (1997)",Kolya (1996),Maverick (1994)
"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777,18,Phenomenon (1996),Natural Born Killers (1994),"People vs. Larry Flynt, The (1996)",Emma (1996)
Blue Chips (1994),2.6666666666666665,9,Cop Land (1997),"Boot, Das (1981)",Kiss the Girls (1997),M*A*S*H (1970)
Blue Sky (1994),3.4166666666666665,12,"Maltese Falcon, The (1941)",Father of the Bride Part II (1995),Apt Pupil (1998),Seven Years in Tibet (1997)
Blue in the Face (1995),3.1777777777777776,45,"Good, The Bad and The Ugly, The (1966)","Peacemaker, The (1997)",Kiss the Girls (1997),G.I. Jane (1997)
Blues Brothers 2000 (1998),2.8214285714285716,28,Raging Bull (1980),Being There (1979),Bonnie and Clyde (1967),Strictly Ballroom (1992)
"Blues Brothers, The (1980)",3.8366533864541834,251,"Game, The (1997)",As Good As It Gets (1997),"Edge, The (1997)",Philadelphia (1993)
Bob Roberts (1992),3.7411764705882353,85,Ulee's Gold (1997),Alien: Resurrection (1997),12 Angry Men (1957),GoldenEye (1995)
Body Parts (1991),1.6153846153846154,13,"Time to Kill, A (1996)",Austin Powers: International Man of Mystery (1997),Mr. Holland's Opus (1995),My Best Friend's Wedding (1997)
"Body Snatcher, The (1945)",3.5,22,My Best Friend's Wedding (1997),Cold Comfort Farm (1995),Amistad (1997),Michael (1996)
Body Snatchers (1993),2.971014492753623,69,True Romance (1993),"Peacemaker, The (1997)","Hunchback of Notre Dame, The (1996)",Bound (1996)
Bogus (1996),2.5454545454545454,22,Pink Floyd - The Wall (1982),"Sex, Lies, and Videotape (1989)","Piano, The (1993)",In the Name of the Father (1993)
